mse,train_loss,epoch,step
0.02248416654765606,-16373.3837890625,0,49
0.01637130044400692,-30660.62109375,1,99
0.01549095381051302,-13084.298828125,2,149
0.009072941727936268,-33013.6953125,3,199
0.00898425281047821,-28469.423828125,4,249
0.008772296831011772,-24533.7578125,5,299
0.010178332217037678,-16927.546875,6,349
0.006554802414029837,-36570.9140625,7,399
0.010419652797281742,-36135.90625,8,449
0.0062467968091368675,-36561.75,9,499
0.010491776280105114,-28460.787109375,10,549
0.005111711099743843,-46982.171875,11,599
0.0058650849387049675,-42389.1875,12,649
0.007818680256605148,-38457.62890625,13,699
0.006389710120856762,-32529.10546875,14,749
0.008053145371377468,-31104.984375,15,799
0.004794212989509106,-48039.29296875,16,849
0.004227747209370136,-54175.17578125,17,899
0.005326904356479645,-21423.14453125,18,949
0.00956654641777277,-20235.5078125,19,999
0.008648641407489777,-30070.265625,20,1049
0.0056945038959383965,-32995.0859375,21,1099
0.005575000774115324,-28767.345703125,22,1149
0.005644806195050478,-27424.966796875,23,1199
0.003952265717089176,-37243.0625,24,1249
0.0055430056527256966,-17800.57421875,25,1299
0.008776330389082432,-21494.6484375,26,1349
0.0034004729241132736,-58859.22265625,27,1399
0.003491451498121023,-60569.8125,28,1449
0.004040220286697149,-21160.005859375,29,1499
0.004439136013388634,-30625.0078125,30,1549
0.004870657343417406,-43653.65234375,31,1599
0.003742474364116788,-40766.06640625,32,1649
0.0032658842392265797,-52830.1875,33,1699
0.004281535744667053,-30620.4765625,34,1749
0.003935927990823984,-27955.203125,35,1799
0.00486384192481637,-40916.5625,36,1849
0.0038265062030404806,-42620.421875,37,1899
0.0033975469414144754,-50333.5078125,38,1949
0.004075640346854925,-40387.3359375,39,1999
0.0037347241304814816,-39378.765625,40,2049
0.0034409486688673496,-43602.6015625,41,2099
0.003729884745553136,-34415.75,42,2149
0.004564805421978235,-35712.2421875,43,2199
0.003010666463524103,-61085.76953125,44,2249
0.0034489647950977087,-40640.578125,45,2299
0.0034427617210894823,-40419.2421875,46,2349
